"filename", "language", "Go", "Go Module File", "Batch", "Python", "Shell Script", "JSON", "HTML", "YAML", "Grule Rules", "TypeScript", "Go Work File", "bpmn", "comment", "blank", "total"
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\math.go", "Go", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\oauthlib.go", "Go", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\router.go", "Go", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 80
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\rules.go", "Go", 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22, 192
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\rulesV2.go", "Go", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 68
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\sftp.go", "Go", 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 51, 312
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\slice.go", "Go", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\storage.go", "Go", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 48
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\struct.go", "Go", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 27
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\time.go", "Go", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 53
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mail\go.mod", "Go Module File", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 96
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mail\mail-policy.go", "Go", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 216
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mail\mail.go", "Go", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 18, 104
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mail\models.go", "Go", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 51
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mail\score.go", "Go", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 113
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mail\send.go", "Go", 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 27, 242
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mail\validate.go", "Go", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 117
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mail_template.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mga\get-product-by-role.go", "Go", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 46
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mga\get-products-list.go", "Go", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 29, 194
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mga\go.mod", "Go Module File", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 97
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mga\mga.go", "Go", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\agency\agency-1.json", "JSON", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 116
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\agent\agent-1.json", "JSON", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 33
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\agent\agent-2.json", "JSON", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 112
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\agent\user.json", "JSON", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\claim\request01.json", "JSON", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 22
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\collections\WoptaDev.postman_collection.json", "JSON", 0, 0, 0, 0, 0, 1351, 0, 0, 0, 0, 0, 0, 0, 0, 1351
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\company\ProductInfo.json", "JSON", 0, 0, 0, 0, 0, 4637, 0, 0, 0, 0, 0, 0, 0, 1, 4638
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\company\comanyBarilla.json", "JSON", 0, 0, 0, 0, 0, 2162, 0, 0, 0, 0, 0, 0, 0, 1, 2163
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\company\company.json", "JSON", 0, 0, 0, 0, 0, 694, 0, 0, 0, 0, 0, 0, 0, 1, 695
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\ducument\document.json", "JSON", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\ducument\namirial\namirialSand.json", "JSON", 0, 0, 0, 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 1, 255
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\ducument\person.json", "JSON", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 2, 52
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\mail\01.json", "JSON", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\mga.json", "JSON", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 7, 55
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\namirial\evelopget.json", "JSON", 0, 0, 0, 0, 0, 472, 0, 0, 0, 0, 0, 0, 0, 0, 472
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\payment\atum01.json", "JSON", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\payment\response01.json", "JSON", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
